user_id,cohort_month,city,treatment_city,post_launch,did,age,income,prior_orders_90d,prior_spend_90d,app_sessions_30d,days_since_last_purchase,premium_member,mobile_app_user,marketing_emails_30d,discount_received,retained_30d,spend_30d
1,2025-04-01,Denver,0,0,0,22,79972,1,171.74,6,6,0,1,4,0,1,121.26
2,2025-12-01,Seattle,1,1,1,59,81855,0,50.94,8,12,0,0,5,1,1,105.39
3,2025-10-01,New York,1,1,1,36,94044,2,183.06,9,31,0,1,3,1,0,67.47
4,2025-08-01,Austin,1,1,1,44,95282,2,99.51,4,7,1,1,7,0,1,159.49
5,2025-12-01,New York,1,1,1,19,98062,3,177.64,5,3,1,0,9,0,1,150.59
6,2025-09-01,Austin,1,1,1,25,59333,3,185.04,8,9,0,1,5,1,1,115.16
7,2025-05-01,Denver,0,0,0,46,36338,5,215.69,17,73,0,0,6,1,1,109.29
8,2025-07-01,Austin,1,1,1,39,49132,3,203.6,11,4,0,0,9,0,1,127.9
9,2025-03-01,Austin,1,0,0,39,67887,3,234.04,7,12,0,1,7,1,0,72.61
10,2025-11-01,Phoenix,0,1,0,18,50816,4,348.79,12,38,1,0,5,0,0,94.92
11,2025-02-01,Seattle,1,0,0,41,74311,2,193.49,14,21,0,1,12,0,0,30.43
12,2025-06-01,Denver,0,0,0,24,60624,4,281.27,10,5,1,1,4,0,1,90.99
13,2025-03-01,New York,1,0,0,27,93310,1,185.3,10,17,0,1,2,0,0,72.64
14,2025-04-01,Boston,1,0,0,40,86997,3,225.11,11,17,1,0,10,0,0,95.9
15,2025-02-01,Austin,1,0,0,35,61249,4,258.29,14,49,0,1,7,0,1,77.09
16,2025-05-01,Phoenix,0,0,0,41,44220,3,77.6,9,0,1,0,5,0,1,120.09
17,2025-11-01,Austin,1,1,1,30,78232,4,368.82,16,4,0,0,6,1,0,93.11
18,2025-06-01,Austin,1,0,0,32,118519,3,129.81,10,24,1,0,5,0,0,66.45
19,2025-12-01,New York,1,1,1,34,81729,1,205.61,10,9,0,1,4,0,1,79.34
20,2025-06-01,Seattle,1,0,0,51,34684,1,256.08,11,31,0,1,1,0,0,7.74
21,2025-01-01,Austin,1,0,0,50,77630,5,255.61,10,37,1,1,1,0,0,81.52
22,2025-11-01,Seattle,1,1,1,43,57766,3,68.47,14,29,1,1,7,1,1,129.62
23,2025-03-01,New York,1,0,0,43,88143,3,232.68,9,15,0,1,6,1,0,60.97
24,2025-02-01,Phoenix,0,0,0,20,84602,3,325.98,6,6,0,1,4,1,0,132.54
25,2025-04-01,Seattle,1,0,0,28,41298,4,294.59,12,2,0,1,3,0,0,82.78
26,2025-12-01,New York,1,1,1,26,42168,4,284.09,13,8,0,0,5,0,1,163.17
27,2025-04-01,Phoenix,0,0,0,41,75630,0,119.47,14,12,1,1,5,1,0,78.29
28,2025-05-01,Denver,0,0,0,57,56889,4,229.5,18,0,1,0,7,0,1,98.95
29,2025-07-01,Phoenix,0,1,0,39,79388,4,301.21,5,14,0,1,10,0,0,16.51
30,2025-10-01,New York,1,1,1,50,71029,2,325.43,10,11,0,0,2,1,1,88.66
31,2025-11-01,Austin,1,1,1,32,80160,2,235.72,6,5,1,1,3,1,0,98.32
32,2025-10-01,Denver,0,1,0,27,59615,3,257.27,10,4,1,1,7,0,0,51.03
33,2025-08-01,Dallas,0,1,0,22,78929,0,182.33,9,6,0,1,7,0,1,70.54
34,2025-02-01,New York,1,0,0,18,141900,2,155.94,13,40,0,0,7,0,0,45.46
35,2025-03-01,Chicago,0,0,0,35,96457,7,263.4,9,23,1,1,8,1,0,100.49
36,2025-09-01,Phoenix,0,1,0,18,58376,4,266.85,11,5,0,1,5,0,0,78.76
37,2025-05-01,New York,1,0,0,33,105978,1,263.66,6,12,0,0,6,1,0,48.48
38,2025-08-01,Seattle,1,1,1,42,68884,5,189.71,13,33,1,0,4,0,0,99.9
39,2025-10-01,Phoenix,0,1,0,26,70105,1,136.53,16,19,0,1,6,0,0,34.53
40,2025-02-01,Chicago,0,0,0,47,20000,4,264.78,11,15,1,1,8,0,0,118.33
41,2025-03-01,Phoenix,0,0,0,33,58119,3,242.22,13,11,0,0,4,0,0,6.87
42,2025-12-01,Austin,1,1,1,39,33686,6,398.29,11,2,0,1,5,0,0,92.71
43,2025-11-01,Boston,1,1,1,48,57731,3,237.18,12,1,1,1,7,0,1,102.11
44,2025-11-01,Phoenix,0,1,0,33,116863,1,123.94,20,38,1,1,4,1,1,125.59
45,2025-12-01,Chicago,0,1,0,35,73160,4,275.99,10,48,0,0,4,0,0,56.97
46,2025-08-01,New York,1,1,1,28,81430,1,248.93,10,20,0,1,6,0,1,104.36
